RTL,drop,spp,genome.count,gen.div
0.999996534,0.380952381,Bacillus_velezensis,63,3.00E-06
0.999996027,0.396825397,Bacillus_velezensis,63,4.00E-06
0.99999552,0.412698413,Bacillus_velezensis,63,4.00E-06
0.999995013,0.428571429,Bacillus_velezensis,63,5.00E-06
0.999994506,0.444444444,Bacillus_velezensis,63,5.00E-06
0.999993998,0.46031746,Bacillus_velezensis,63,6.00E-06
0.999993491,0.476190476,Bacillus_velezensis,63,7.00E-06
0.986851183,0.492063492,Bacillus_velezensis,63,0.013149
0.973708875,0.507936508,Bacillus_velezensis,63,0.026291
0.96056682,0.523809524,Bacillus_velezensis,63,0.039433
0.960566313,0.53968254,Bacillus_velezensis,63,0.039434
0.947422568,0.555555556,Bacillus_velezensis,63,0.052577
0.934280767,0.571428571,Bacillus_velezensis,63,0.065719
0.93428026,0.587301587,Bacillus_velezensis,63,0.06572
0.934279246,0.603174603,Bacillus_velezensis,63,0.065721
0.921132373,0.619047619,Bacillus_velezensis,63,0.078868
0.907984401,0.634920635,Bacillus_velezensis,63,0.092016
0.89483195,0.650793651,Bacillus_velezensis,63,0.105168
0.894831443,0.666666667,Bacillus_velezensis,63,0.105169
0.881659634,0.682539683,Bacillus_velezensis,63,0.11834
0.868500589,0.698412698,Bacillus_velezensis,63,0.131499
0.842214621,0.714285714,Bacillus_velezensis,63,0.157785
0.829065043,0.73015873,Bacillus_velezensis,63,0.170935
0.815911155,0.746031746,Bacillus_velezensis,63,0.184089
0.802756674,0.761904762,Bacillus_velezensis,63,0.197243
0.776471044,0.777777778,Bacillus_velezensis,63,0.223529
0.763324086,0.793650794,Bacillus_velezensis,63,0.236676
0.723864196,0.80952381,Bacillus_velezensis,63,0.276136
0.710720451,0.825396825,Bacillus_velezensis,63,0.28928
0.671256418,0.841269841,Bacillus_velezensis,63,0.328744
0.631778777,0.857142857,Bacillus_velezensis,63,0.368221
0.592334609,0.873015873,Bacillus_velezensis,63,0.407665
0.539708742,0.888888889,Bacillus_velezensis,63,0.460291
0.513418716,0.904761905,Bacillus_velezensis,63,0.486581
0.487106036,0.920634921,Bacillus_velezensis,63,0.512894
0.420884029,0.936507937,Bacillus_velezensis,63,0.579116
0.355096497,0.952380952,Bacillus_velezensis,63,0.644904
1,0,Bifidobacterium_animalis,20,0
1,0.05,Bifidobacterium_animalis,20,0
1,0.1,Bifidobacterium_animalis,20,0
1,0.15,Bifidobacterium_animalis,20,0
1,0.2,Bifidobacterium_animalis,20,0
1,0.25,Bifidobacterium_animalis,20,0
1,0.3,Bifidobacterium_animalis,20,0
1,0.35,Bifidobacterium_animalis,20,0
1,0.4,Bifidobacterium_animalis,20,0
1,0.45,Bifidobacterium_animalis,20,0
1,0.5,Bifidobacterium_animalis,20,0
1,0.55,Bifidobacterium_animalis,20,0
1,0.6,Bifidobacterium_animalis,20,0
0.999998485,0.65,Bifidobacterium_animalis,20,2.00E-06
0.999996969,0.7,Bifidobacterium_animalis,20,3.00E-06
0.999995454,0.75,Bifidobacterium_animalis,20,5.00E-06
0.960222156,0.8,Bifidobacterium_animalis,20,0.039778
0.960219378,0.85,Bifidobacterium_animalis,20,0.039781
1,0,Bifidobacterium_breve,38,0
1,0.026315789,Bifidobacterium_breve,38,0
1,0.052631579,Bifidobacterium_breve,38,0
1,0.078947368,Bifidobacterium_breve,38,0
1,0.105263158,Bifidobacterium_breve,38,0
1,0.131578947,Bifidobacterium_breve,38,0
1,0.157894737,Bifidobacterium_breve,38,0
1,0.184210526,Bifidobacterium_breve,38,0
1,0.210526316,Bifidobacterium_breve,38,0
1,0.236842105,Bifidobacterium_breve,38,0
1,0.263157895,Bifidobacterium_breve,38,0
0.999999624,0.289473684,Bifidobacterium_breve,38,0
0.990122223,0.315789474,Bifidobacterium_breve,38,0.009878
0.979148443,0.342105263,Bifidobacterium_breve,38,0.020852
0.959411337,0.368421053,Bifidobacterium_breve,38,0.040589
0.939654905,0.394736842,Bifidobacterium_breve,38,0.060345
0.929767528,0.421052632,Bifidobacterium_breve,38,0.070232
0.910015174,0.447368421,Bifidobacterium_breve,38,0.089985
0.90014317,0.473684211,Bifidobacterium_breve,38,0.099857
0.880390817,0.5,Bifidobacterium_breve,38,0.119609
0.850761753,0.526315789,Bifidobacterium_breve,38,0.149238
0.83099045,0.552631579,Bifidobacterium_breve,38,0.16901
0.801373309,0.578947368,Bifidobacterium_breve,38,0.198627
0.771734205,0.605263158,Bifidobacterium_breve,38,0.228266
0.742090585,0.631578947,Bifidobacterium_breve,38,0.257909
0.722327062,0.657894737,Bifidobacterium_breve,38,0.277673
0.690736273,0.684210526,Bifidobacterium_breve,38,0.309264
0.641365209,0.710526316,Bifidobacterium_breve,38,0.358635
0.601842682,0.736842105,Bifidobacterium_breve,38,0.398157
0.562330571,0.763157895,Bifidobacterium_breve,38,0.437669
0.552454677,0.789473684,Bifidobacterium_breve,38,0.447545
